city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
buluang,ph,1717512.0,10.47,123.98,82.4,65.0,40.0,10.29,1553472000.0
taree,au,2147381.0,-31.91,152.46,80.82,69.0,12.0,8.05,1553474699.0
lawrenceburg,us,4635849.0,35.24,-87.33,63.18,55.0,20.0,5.95,1553475110.0
bonito,br,3393829.0,-1.36,-47.3,76.53,92.0,76.0,6.17,1553475201.0
hutchinson,us,4273299.0,38.06,-97.93,56.14,58.0,75.0,14.99,1553475058.0
cazones,mx,3531391.0,20.72,-97.32,78.8,69.0,5.0,11.41,1553471100.0
severodvinsk,ru,496285.0,64.56,39.82,33.8,84.0,40.0,6.71,1553472000.0
cape canaveral,us,4149959.0,28.41,-80.6,69.08,77.0,1.0,5.82,1553475183.0
saint-pierre,pm,3424934.0,46.77,-56.17,30.07,80.0,0.0,19.46,1553472000.0
bridgend,gb,2654755.0,51.51,-3.58,45.05,87.0,75.0,9.17,1553475196.0
necochea,ar,3430443.0,-38.55,-58.74,55.85,69.0,68.0,8.99,1553474815.0
praya,id,1630662.0,-8.71,116.27,80.6,88.0,75.0,3.36,1553473800.0
havre-saint-pierre,ca,5972291.0,50.23,-63.6,14.0,40.0,20.0,14.99,1553472000.0
camocim,br,3403687.0,-2.9,-40.84,75.09,94.0,44.0,2.93,1553475204.0
dunedin,nz,2191562.0,-45.87,170.5,64.0,89.0,76.0,9.75,1553474845.0
thompson,ca,6165406.0,55.74,-97.86,21.2,31.0,40.0,9.17,1553472000.0
opochka,ru,515155.0,56.71,28.66,27.39,63.0,0.0,10.42,1553475205.0
knin,hr,3197986.0,44.04,16.2,45.39,57.0,0.0,4.7,1553475067.0
yerbogachen,ru,2012956.0,61.28,108.01,-1.51,67.0,0.0,2.59,1553475076.0
teahupoo,pf,4033543.0,-17.83,-149.27,87.48,70.0,40.0,2.24,1553475182.0
iqaluit,ca,5983720.0,63.75,-68.52,1.18,77.0,90.0,12.75,1553474562.0
ginir,et,336454.0,7.14,40.71,54.75,79.0,0.0,3.15,1553475207.0
saskylakh,ru,2017155.0,71.97,114.09,-10.33,70.0,64.0,3.27,1553475208.0
notse,tg,2364752.0,6.95,1.17,74.64,85.0,20.0,6.73,1553475208.0
pashiya,ru,512413.0,58.43,58.26,26.85,95.0,80.0,4.83,1553475209.0
chake chake,tz,160677.0,-5.25,39.77,80.94,100.0,36.0,4.38,1553475209.0
otaki,nz,2206372.0,-40.76,175.15,70.32,73.0,8.0,17.22,1553475019.0
kahului,us,5847411.0,20.89,-156.47,74.12,78.0,90.0,9.17,1553474861.0
matagami,ca,6067747.0,49.76,-77.63,10.4,46.0,1.0,8.05,1553472000.0
chapais,ca,5919850.0,49.78,-74.86,6.8,38.0,1.0,9.17,1553472000.0
khlung,th,1609858.0,12.46,102.22,83.46,100.0,40.0,5.61,1553474759.0
banepa,np,1283679.0,27.63,85.52,53.6,93.0,20.0,2.93,1553473200.0
ambilobe,mg,1082243.0,-13.19,49.05,73.38,95.0,76.0,0.69,1553475212.0
ballina,ie,2966778.0,54.11,-9.15,44.04,88.0,88.0,1.99,1553474892.0
mount gambier,au,2156643.0,-37.83,140.78,51.8,66.0,75.0,35.57,1553472600.0
rancho palos verdes,us,5386035.0,33.75,-118.37,65.41,55.0,1.0,5.82,1553475194.0
roznava,sk,723713.0,48.66,20.54,42.71,93.0,90.0,2.24,1553475008.0
lamu,ke,189741.0,-2.27,40.9,77.07,97.0,8.0,6.06,1553475215.0
flin flon,ca,5954718.0,54.77,-101.88,21.72,48.0,0.0,1.36,1553475215.0
ampanihy,mg,1078553.0,-24.69,44.75,72.57,75.0,8.0,8.19,1553475215.0
vaitape,pf,4033077.0,-16.52,-151.75,85.08,97.0,56.0,12.44,1553475176.0
juneau,us,5554072.0,58.3,-134.42,51.8,57.0,40.0,9.17,1553471760.0
itarema,br,3393692.0,-2.92,-39.92,76.62,95.0,80.0,2.93,1553475216.0
vangaindrano,mg,1054329.0,-23.35,47.6,69.69,98.0,88.0,2.93,1553475217.0
buala,sb,2109528.0,-8.15,159.59,85.8,81.0,92.0,5.17,1553475217.0
santa fe,pa,3701195.0,8.66,-78.16,84.72,63.0,0.0,11.54,1553475218.0
tazovskiy,ru,1489853.0,67.47,78.7,20.37,86.0,56.0,16.24,1553475218.0
kolobrzeg,pl,3095795.0,54.18,15.58,30.99,87.0,36.0,9.08,1553474885.0
port lincoln,au,2063036.0,-34.72,135.86,63.66,84.0,24.0,23.85,1553475219.0
chipinge,zw,893549.0,-20.19,32.62,61.95,93.0,0.0,2.93,1553475219.0
cooma,au,2170577.0,-36.24,149.13,66.2,59.0,48.0,29.97,1553472000.0
gazanjyk,tm,161974.0,39.24,55.52,43.41,87.0,8.0,2.15,1553475220.0
aripuana,br,3665202.0,-9.17,-60.63,78.06,92.0,20.0,2.15,1553475066.0
praia,cv,3374333.0,14.92,-23.51,69.8,60.0,40.0,8.05,1553472000.0
manbij,sy,167357.0,36.53,37.96,41.0,48.0,0.0,11.41,1553473200.0
nantucket,us,4944903.0,41.28,-70.1,42.6,87.0,75.0,20.8,1553475155.0
tolland,us,4844273.0,41.87,-72.37,45.73,56.0,20.0,9.17,1553474961.0
puro,ph,1706889.0,13.13,123.76,74.37,99.0,88.0,4.27,1553475223.0
marsh harbour,bs,3571913.0,26.54,-77.06,73.65,100.0,76.0,15.46,1553475004.0
tongchuan,cn,7064006.0,34.9,108.95,44.6,52.0,0.0,2.24,1553472000.0
port hardy,ca,6111862.0,50.7,-127.42,51.8,71.0,20.0,5.82,1553472000.0
longyearbyen,sj,2729907.0,78.22,15.64,10.4,72.0,75.0,12.75,1553475000.0
